Bin Li	Bin Li_2	1972	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Xingzhong Zhang;Yixiang Wang;Xiaogang Luo;Ang Lu;Yan Li;Bin Li;Shilin Liu	O/W Pickering Emulsion Templated Organo-hydrogels with Enhanced Mechanical Strength and Energy Storage Capacity	ACS Applied Bio Materials	College of Food Science & Technology, Huazhong Agricultural University, Wuhan, Hubei, 430070, China	none	The increased quantities of fat in plants could allow the cells to inhibit the growth of ice and thus prevent the damages of their tissue structure in winter. In view of the structural buildup of freezing tolerance mechanism, here we presented a facile way of employing O/W Pickering emulsion as a template to produce the freestanding organo-hydrogels with increased mechanical stability and energy storage capacity. The oil droplets stabilized by cellulose nanofibrils were dispersed in the alginate polymer network that cross-linked with Ca2+, which resulted in homogeneous and closely packed microstructures. The prepared organo-hydrogels could maintain original gel structure under frozen conditions and had extraordinary mechanical performance. It could endure compressive stress up to 35 KPa (at 50% strain) and the elastic modulus was around 72 KPa, while the solid content of polysaccharides was only about 0.75%. By using our comprehensive strategy, organo-hydrogels with higher volumes of oil phase exhibited an enhanced cold storage capacity. For alginate hydrogel, it took 8 min when the temperature rose from 0 to 5 °C, while for the organo-hydrogel with oil volume of 30%, it took about 24 min. After 34 min, the inner temperature of alginate hydrogel was close to 25 °C, and about 70 min were needed for the temperature of organo-hydrogel to reach 25 °C. This kind of gel materials with complementary heteronetworks not only will have potential applications in cold chain logistics, but also can be applied in other fields with unusual functions.	organo-hydrogel, nanocellulose, Pickering emulsions	2018-11-01 00:00:00
Bin Li	Bin Li_2	1973	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Qi Li;Yixiang Wang;Yuehan Wu;Kanghui He;Yan Li;Xiaogang Luo;Bin Li;Chengtao Wang;Shilin Liu	Flexible Cellulose Nanofibrils as Novel Pickering Stabilizers: The Emulsifying Property and Packing Behavior	Food Hydrocolloids	College of Food Science & Technology, Huazhong Agricultural University, Wuhan, Hubei, 430070, China	none	In this work, high pressure homogenization (HPH) was applied to alter the physical size of bacterial cellulose, and the obtained bacterial cellulose nanofibrils (BCNFs) with different size were used as stabilizers for O/W Pickering emulsions. The average width of the BCNFs was decreased from 127 to 97 nm with the increasing the homogenized times from 10 to 80 times at 750 Bar, and the obtained BCNFs suspensions was pseudoplastic fluid and exhibited a typical shear thinning behavior. The physical size of the BCNFs had an obvious influence on their emulsifying capacity, and the surface coverage ratio of the emulsion droplets was increased from 0.63 to 9.77 with the changing the volume of oil and solid content of BCNFs. Moreover, the temperature, ionic strength and pH had insignificant influence on the stability of the emulsion. It suggested that the flexible BCNFs played an important role in the stabilization of the emulsions, and the higher content of BCNFs increased the intermolecular noncovalent “physical” cross-links. Moreover, stable medium-internal-phase-emulsions (MIPEs) could also be fabricated by using BCNFs as stabilizers.	Cellulose nanofibrils,Pickering emulsion,Particle stabilizer,Surface coverage	2018-09-01 00:00:00
Bin Li	Bin Li_2	1974	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Wei Xu;Weiping Jin;Yuan Wang;Juan Li;Kunling Huang;Bakht Ramin Shah;Bin Li	Effect of physical interactions on structure of lysozyme in presence of three kinds of polysaccharides	Journal of Food Science and Technology -Mysore-	College of Food Science and Technology, Huazhong Agriculture University, Wuhan, 430070, China;Key Laboratory of Environment Correlative Dietology (Huazhong Agricultural University), Ministry of Education, Wuhan, China	none	In this work the influences of κ-carrageenan (CRG), konjac glucomannan (KGM) and inulin on lysozyme (Ly)’s structure, activity, and their complex phase behavior were investigated through spectroscopy and activity measurement in heated and unheated conditions. It was found that the impact on the structure and activity of Ly was determined by the interactions with polysaccharides. After heat treatment, KGM and CRG improved the stability of complex systems. However, inulin did not have significant impact. Heating process promoted to change the structure of Ly, and the intervention retard following the sequence of CRG > KGM > inulin. The worthwhile work indicated protein’s structure and activity could be regulated by the interaction with polysaccharide, which might provide theoretical basis for food preservation and processing in different temperature treatments. Besides, the bidirectional effects of polysaccharide on protein would be beneficial to rational selection of functional properties of polysaccharide/protein systems.	food preservation, functional properties, heat treatment, inulin, kappa carrageenan, konjac mannan, lysozyme, spectroscopy, temperature	2018-05-01 00:00:00
Bin Li	Bin Li_2	1975	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Yuehan Wu;Zhuojia Qian;Yujie Lei;Wei Li;Xia Wu;Xiaogang Luo;Yan Li;Bin Li;Shilin Liu	Superhydrophobic modification of cellulose film through light curing polyfluoro resin in situ	Cellulose	College of Food Science and Technology, Huazhong Agriculture University, Wuhan, 430070, China;Key Laboratory of Environment Correlative Dietology (Huazhong Agricultural University), Ministry of Education, Wuhan, China	none	Cellulose-based film has a poor water vapor barrier property, which limits its applications in food packaging. The hydrophobic modification of cellulose materials has attracted increasing interests. In this work, UV curable polyfluoro resin was incorporated into the cellulose matrix for superhydrophobic modification of the cellulose matrix. Results showed that the loaded polyfluoro resin had an obvious influence on the composites’ microstructure, the thermal stability of the composites changed slightly with the incorporation of polyfluoro resin, and the transmittance of the composites containing the resin with high content of 14.68% could be kept to 50% at 550 nm wavelength. Furthermore, the surface properties of the composites could be changed from hydrophobic to superhydrophobic by increasing the polyfluoro resin content. Moreover, UV-initiated polymerization was used to modify the cellulose matrix, the process was green and facile, which showing potential for cellulose matrix modification.	Cellulose,Epoxy acrylate,UV curing,Surface modification	2018-01-01 00:00:00
Bin Li	Bin Li_2	1976	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Huanle Chen;David Julian Mcclements;Enmin Chen;Shilin Liu;Bin Li;Yan Li	In Situ Interfacial Conjugation of Chitosan with Cinnamaldehyde during Homogenization Improves the Formation and Stability of Chitosan-Stabilized Emulsions	Langmuir	College of Food Science and Technology;Key Laboratory of Environment Correlative Dietology, Ministry of Education, Huazhong Agricultural University, Wuhan 430070, China;Functional Food Engineering &Technology Research Center of Hubei Province, Wuhan 430070, China	none	The emulsifying properties of a natural cationic polysaccharide (chitosan) were improved by in situ conjugation with a natural essential oil (cinnamaldehyde, CA) during homogenization. In the absence of CA, chitosan-coated medium-chain triglyceride droplets were highly susceptible to creaming and coalescence at pH values ranging from 1 to 6.5. However, incorporation of relatively low levels of CA in the oil phase greatly improved the formation and stability of oil-in-water emulsions. These effects were attributed to two main factors: (i) covalent binding of lipophilic CA moieties to hydrophilic chitosan chains leading to conjugates with a good surface activity and (ii) interfacial cross-linking of adsorbed chitosan layers by CA leading to the formation of a rigid polymeric coating around the lipid droplets, which improved their stability against coalescence. The encapsulation technique developed in this study may be useful for applications in a range of commercial products; regulatory and flavor issues associated with chitosan and CA would have to be addressed.	chitosan,coatings, creaming, crosslinking, droplets, emulsifying properties, emulsions, encapsulation, essential oils, flavor, homogenization, hydrophilicity, lipophilicity, medium chain triacylglycerols, moieties, oils, pH	2017-12-01 00:00:00
Bin Li	Bin Li_2	1977	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Enmin Chen;Lianqi Cao;David Julian Mcclements;Shilin Liu;Bin Li;Yan Li	Enhancement of physicochemical properties of whey protein-stabilized nanoemulsions by interfacial cross-linking using cinnamaldehyde	Food Hydrocolloids	College of Food Science and Technology, Huazhong Agriculture University, Wuhan, 430070, China;Key Laboratory of Environment Correlative Dietology (Huazhong Agricultural University), Ministry of Education, Wuhan, China	none	The impact of incorporating different levels of cinnamaldehyde (CA) into the oil phase used to prepare whey protein isolate (WPI)-stabilized nanoemulsions was investigated. Stable nanoemulsions could not be formed by pure CA, which was attributed to gravitational separation, but they could be formed from mixtures of CA and triglycerides. The mean particle diameter produced by homogenization decreased with increasing CA, which was attributed to the reduction of oil phase interfacial tension and viscosity. CA enhanced the physical stability of the nanoemulsions to salt addition (0–500 mM) and thermal processing (30–90 °C), but could not prevent droplet flocculation near the protein's isoelectric point (around pH 5). SDS-PAGE and surface load measurements indicated that more protein accumulated at the droplet surfaces in the presence of CA, which was attributed to interfacial crosslinking. CA may therefore be a useful means of modulating the physicochemical properties of protein-stabilized nanoemulsions.	Nanoemulsion,Whey protein,Cinnamaldehyde,Interfacial layer,Conjugation	2017-11-01 00:00:00
Bin Li	Bin Li_1	1978	bin li	bin li	Senior Scientist Idaho National Laboratory	inl.gov	Li ion batteryFlow BatteriesFuel CellsMaterials SynthesisThin film	Xiaoliang Wei,OrcidWenxiao Pan,Wentao Duan,Aaron Hollas,Zheng Yang,Bin Li,Zimin Nie,Jun Liu,OrcidDavid Reed,Wei Wang,Vincent Sprenkle	Materials and Systems for Organic Redox Flow Batteries: Status and Challenges	ACS Energy Letters	Energy & Environment Directorate, Pacific Northwest National Laboratory, 902 Battelle Boulevard, Richland, Washington 99354, United States	none	Redox flow batteries (RFBs) are propitious stationary energy storage technologies with exceptional scalability and flexibility to improve the stability, efficiency, and sustainability of our power grid. The redox-active materials are the key component for RFBs with which to achieve high energy density and good cyclability. Traditional inorganic-based materials encounter critical technical and economic limitations such as low solubility, inferior electrochemical activity, and high cost. Redox-active organic materials (ROMs) are promising alternative “green” candidates to push the boundaries of energy storage because of the significant advantages of molecular diversity, structural tailorability, and natural abundance. Here, the recent development of a variety of ROMs and associated battery designs in both aqueous and nonaqueous electrolytes are reviewed. The critical challenges and potential research opportunities for developing practically relevant organic flow batteries are discussed.	none	2017-08-01 00:00:00
Bin Li	Bin Li_2	1979	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Enmin Chen;Shan Wu;David Julian Mcclements;Bin Li;Yan Li	Influence of pH and cinnamaldehyde on the physical stability and lipolysis of whey protein isolate-stabilized emulsions	Food Hydrocolloids	College of Food Science and Technology;Key Laboratory of Environment Correlative Dietology, Ministry of Education, Huazhong Agricultural University, Wuhan 430070, China;Functional Food Engineering &Technology Research Center of Hubei Province, Wuhan 430070, China	none	Cinnamaldehyde (CA), a common hydrophobic flavor, was encapsulated in oil-in-water emulsions that were stabilized by whey protein isolate (WPI). The impact of CA content and pH on the physical stability and lipolysis of the emulsions was then investigated. The presence of CA gave the emulsions a creamy yellow color, which became darker during storage. Emulsions formed using only CA as the oil phase contained large droplets that were physically unstable to particle growth and phase separation. The addition of medium chain triglyceride oil (MCT) improved the stability of emulsions containing CA, which was attributed to inhibition of Ostwald ripening effects. Fluorescent microscopy indicated that the adsorption of the protein to the droplet surfaces led to a thicker adsorbed layer in the presence of CA. The stability of the emulsions to droplet flocculation and coalescence depended on the CA level in the oil phase and the pH of the aqueous phase. An in vitro model was used to assess the impact of oil phase composition and pH on lipid hydrolysis and emulsion microstructure under simulated gastrointestinal tract conditions. The rate of lipid hydrolysis was highly dependent on CA level and pH. These results may facilitate the fabrication of emulsions with controlled GIT fate that are suitable for use in functional foods and beverages.	Whey protein isolate,Cinnamaldehyde,Protein,Lipid digestion,Schiff base reactions	2017-08-01 00:00:00
Bin Li	Bin Li_2	1980	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Tingguo Liu;Yuntao Wang;Bin Li;H.B. Deng;Z.L. Huang;L.W. Qian;Xin Wang	Urea free synthesis of chitin-based acrylate superabsorbent polymers under homogeneous conditions: Effects of the degree of deacetylation and the molecular weight	Carbohydrate Polymers	College of Food Science and Technology, Huazhong Agricultural University, Wuhan, 430070, PR China	libinfood@mail.hzau.edu.cn	In order to understand the chemical structure of chitin-based acrylate superabsorbent polymers (SAP), chitin was dissolved in NaOH aqueous solution via freezing-thawing cyclic treatment without urea, subsequently, a transparent hydrogel was prepared by copolymerizing the alkali-chitin solution and acrylic acid directly. The effects of the degree of deacetylation (DDA) and the molecular weight (Mw) of chitin on the properties of SAP were investigated in detail. With increasing the DDA and Mw, the yield improved while the water absorbency decreased, yet the effect of DDA is insignificant if the Mw is smaller enough. The structures were characterized by FT-IR, XRD, TG, DSC, XPS, solid-state 13C NMR and elemental analyses. The results indicated that the poly(acrylic acid) chains were successfully grafted onto the chitin backbones, and the reaction sites were the NH2 on the chitosan units. The possible mechanism was further discussed, which was similar to that suggested for chitosan-g-poly(acrylic acid) SAP.	Chitin,Homogeneous deacetylation treatment,Superabsorbent polymers,Graft copolymerization,Hydrogels	2017-06-01 00:00:00
Bin Li	Bin Li_2	1981	bin li	bin li	Professor of  food science Huazhong Agriculture University	mail.hzau.edu.cn	HydrocolloidsPolysaccharideProtein	Yun He;Bin Zhou;Hongshan Liang;Lin Wang;Jing Li;Bin Li	Silver nanoparticles on flower-like TiO2-coated polyacrylonitrile nanofibers: Catalytic and antibacterial applications	Colloids and Surfaces A Physicochemical and Engineering Aspects	College of Food Science and Technology;Key Laboratory of Environment Correlative Dietology, Ministry of Education, Huazhong Agricultural University, Wuhan 430070, China	none	Nanofibrous mats were extensively studied as attractive membranes materials applied in the fields of biomedicine, filtration, catalysis, and biosensors due to their flexibility and porosity. In this current work, we have demonstrated an eco-friendly method for the preparation of novel three-dimensional silver nanoparticles (AgNPs)/titanium dioxide (TiO2)/hydrolyzed polyacrylonitrile (hPAN) nanostructures with favorable flower-shaped architectures. It combined with electrospinning technique, liquid phase deposition method and photoreduction. The experimental results show that the TiO2 coating and AgNPs deposition increased the fiber surface roughness and specific surface area. And the results of antimicrobial activity assay revealed that the AgNPs/TiO2/hPAN composites nanofibrous mats exhibited excellent antibacterial activity and the photocatalytic assay indicated that the mats prepared in 1 mM silver nitrate solution showed strong catalytic properties	Electrospun nanofibers,Titanium dioxide,Silver nanoparticles,Antibacterial activity,Catalysis	2017-06-01 00:00:00
